;Classifier;Exp. Group;Ratio Men;Probability Men;Probability Women;Difference Probabilities;Informativeness Difference;Possible Accuracy;Mean Accuracy;SD Accuracy;Diff Acc;Possible Accuracy Men;Mean Accuracy Men;SD Accuracy Men;Diff Acc Men;Possible Accuracy Women;Mean Accuracy Women;SD Accuracy Women;Diff Acc Women;Expected Bias;Mean Bias;SD Bias;Diff Bias
1051;Tree_noSex;16;0.50;0.50;0.05;-0.45;-0.45;0.8667018181818181;0.8554999999999999;0.012049646844245622;0.011201818181818202;0.803730909090909;0.7655781818181819;0.024845978669975677;0.038152727272727116;0.9296727272727273;0.9454218181818181;0.009500085147908885;-0.015749090909090824;-0.12594181818181827;-0.17984363636363634;0.028885508330106585;-0.05390181818181808
1052;Tree_noSex;17;0.50;0.50;0.20;-0.30;-0.30;0.8264218181818181;0.8027872727272728;0.014830807233119752;0.023634545454545353;0.8036672727272727;0.7664472727272728;0.023242366430385682;0.03721999999999992;0.8491763636363636;0.8391272727272727;0.01766460916512023;0.010049090909090896;-0.04550909090909094;-0.07268000000000001;0.02871725362456697;-0.027170909090909065
1053;Tree_noSex;18;0.50;0.50;0.35;-0.15;-0.15;0.8085536363636364;0.7781127272727273;0.015853324216810138;0.03044090909090913;0.8035672727272727;0.7690581818181818;0.022132410696658673;0.034509090909090934;0.81354;0.7871672727272727;0.019118202491371313;0.026372727272727325;-0.009972727272727355;-0.01810909090909091;0.02655912243655839;-0.008136363636363556
1054;Tree_noSex;19;0.50;0.50;0.50;0.00;0.00;0.8030209090909091;0.7646672727272728;0.017706168381146557;0.03835363636363631;0.8037381818181818;0.76632;0.023588135698259214;0.037418181818181795;0.8023036363636363;0.7630145454545455;0.023772980776555656;0.03928909090909083;0.0014345454545454661;0.0033054545454545455;0.03144957752463288;0.0018709090909090793
1055;Tree_noSex;20;0.50;0.50;0.65;0.15;-0.15;0.80923;0.774229090909091;0.014791146772697033;0.03500090909090903;0.80368;0.7664509090909091;0.021372580639205344;0.03722909090909088;0.81478;0.7820072727272728;0.020904848659257694;0.032772727272727176;-0.011099999999999999;-0.015556363636363637;0.030207411505882832;-0.0044563636363636385
1056;Tree_noSex;21;0.50;0.50;0.80;0.30;-0.30;0.8273609090909091;0.8019854545454546;0.014293812820512182;0.025375454545454534;0.8036781818181818;0.7671054545454545;0.02099839024259389;0.03657272727272731;0.8510436363636363;0.8368654545454546;0.018735044728448943;0.014178181818181756;-0.04736545454545449;-0.06976;0.027687835735628254;-0.022394545454545514
1057;Tree_noSex;22;0.50;0.50;0.95;0.45;-0.45;0.8674472727272727;0.8563;0.010864079949594636;0.011147272727272783;0.8036909090909091;0.7671454545454547;0.02082813546682329;0.03654545454545444;0.9312036363636363;0.9454545454545454;0.011003920781325257;-0.014250909090909092;-0.12751272727272722;-0.1783090909090909;0.025252367543802945;-0.05079636363636367
1058;Tree_noSex;23;0.50;0.65;0.20;-0.45;-0.15;0.83194;0.8108072727272727;0.014164758528459413;0.021132727272727303;0.81468;0.7812218181818181;0.024062870679161984;0.03345818181818183;0.8492;0.8403927272727273;0.01681416540611978;0.008807272727272664;-0.034519999999999995;-0.059170909090909087;0.030346569337811456;-0.02465090909090909
1059;Tree_noSex;24;0.50;0.65;0.35;-0.30;0.00;0.8141427272727273;0.78286;0.014118559914592243;0.031282727272727295;0.8146890909090909;0.7820181818181818;0.021438768578101418;0.032670909090909084;0.8135963636363637;0.7837018181818183;0.020618801356184345;0.029894545454545396;0.0010927272727272452;-0.0016836363636363641;0.031179746611777196;-0.0027763636363636094
1060;Tree_noSex;25;0.50;0.65;0.50;-0.15;0.15;0.8085409090909091;0.7721945454545455;0.017898936258669666;0.03634636363636368;0.8147145454545455;0.7809854545454546;0.022679114375253627;0.03372909090909082;0.8023672727272727;0.7634036363636363;0.023594185659885338;0.03896363636363642;0.012347272727272762;0.01758181818181818;0.02933543888934116;0.005234545454545419
1061;Tree_noSex;26;0.50;0.65;0.65;0.00;0.00;0.8147554545454545;0.7826618181818181;0.015460219719454308;0.03209363636363638;0.8146981818181818;0.7821527272727273;0.02112031502070782;0.03254545454545443;0.8148127272727272;0.7831709090909091;0.018034874864441282;0.031641818181818104;-0.00011454545454547826;-0.0010181818181818178;0.024219315861616922;-0.0009036363636363396
1062;Tree_noSex;27;0.50;0.65;0.80;0.15;-0.15;0.83294;0.8121490909090909;0.0128394722770204;0.020790909090909082;0.8147436363636363;0.7856181818181819;0.019183887164566992;0.029125454545454454;0.8511363636363637;0.83868;0.015494148375428106;0.01245636363636371;-0.036392727272727354;-0.05306181818181818;0.02359601932182067;-0.016669090909090828
1063;Tree_noSex;28;0.50;0.65;0.95;0.30;-0.30;0.8729518181818182;0.8629218181818181;0.01296342326594262;0.010030000000000094;0.8147036363636364;0.7828836363636363;0.022155541919677686;0.03182000000000007;0.9312;0.9429599999999999;0.011741998787222091;-0.011759999999999882;-0.11649636363636362;-0.16007636363636363;0.02419263886928239;-0.04358000000000001
1064;Tree_noSex;29;0.50;0.80;0.35;-0.45;0.15;0.8329872727272727;0.8107363636363637;0.013461188406309072;0.022250909090908988;0.8524272727272727;0.8378036363636363;0.018709688553505292;0.014623636363636394;0.8135472727272727;0.783669090909091;0.018549975551977696;0.029878181818181693;0.038880000000000026;0.054134545454545456;0.025758371537340466;0.01525454545454543
1065;Tree_noSex;30;0.50;0.80;0.50;-0.30;0.30;0.827370909090909;0.8024763636363637;0.015666561604535077;0.02489454545454539;0.8524218181818182;0.8392945454545455;0.016549219168146383;0.013127272727272654;0.80232;0.7656581818181818;0.023673851683213603;0.03666181818181824;0.050101818181818136;0.07363636363636364;0.0262086094089996;0.023534545454545502
1066;Tree_noSex;31;0.50;0.80;0.65;-0.15;0.15;0.8335990909090909;0.8122963636363637;0.014288256270895722;0.021302727272727195;0.8523909090909091;0.8395709090909091;0.01761616322648952;0.012819999999999943;0.8148072727272727;0.7850218181818182;0.019208649111675698;0.02978545454545456;0.037583636363636375;0.054549090909090915;0.023280587320435763;0.01696545454545454
