;Classifier;Exp. Group;Ratio Men;Prob Men;Prob Women;Prob Diff;Informativeness Diff;Lower Bound Bias;Mean Bias;Upper Bound Bias;Width_Confidence_Intervall;SD Bias;Significant_Bias
67;SVM;68;0.65;0.80;0.65;-0.15;0.15;0.04469366104933418;0.04851748251748252;0.05234130398563087;0.0076476429362966935;0.0009830284372799765;Yes
68;SVM;69;0.65;0.80;0.80;0.00;0.00;-0.0030209629611565214;0.0004579420579420578;0.003936847077040637;0.006957810038197158;0.0008943572791922168;No
69;SVM;70;0.65;0.80;0.95;0.15;-0.15;-0.09109422621129115;-0.08888311688311688;-0.08667200755494261;0.004422218656348528;0.0005684322256245047;Yes
70;SVM;71;0.65;0.95;0.50;-0.45;0.45;0.15123075304860933;0.15473166833166835;0.15823258361472736;0.007001830566118012;0.0009000156802356148;Yes
71;SVM;72;0.65;0.95;0.65;-0.30;0.30;0.13585822683518964;0.13925554445554444;0.14265286207589925;0.006794635240709617;0.0008733827818845105;Yes
72;SVM;73;0.65;0.95;0.80;-0.15;0.15;0.08888939605564562;0.09196283716283717;0.09503627827002871;0.00614688221438309;0.0007901205727937853;Yes
73;SVM;74;0.65;0.95;0.95;0.00;0.00;0.0017340773685768265;0.002796003996003996;0.003857930623431165;0.002123853254854339;0.0002730002124213262;Yes
74;SVM;75;0.80;0.05;0.05;0.00;0.00;-0.00034613347234117354;0.0009090909090909091;0.002164315290522992;0.0025104487628641653;0.0003226932199615536;No
75;SVM;76;0.80;0.05;0.20;0.15;0.15;0.08821648107453474;0.09193863636363636;0.09566079165273798;0.007444310578203237;0.000956892084956779;Yes
76;SVM;77;0.80;0.05;0.35;0.30;0.30;0.14145914301221432;0.14640227272727271;0.1513454024423311;0.009886259430116763;0.001270780322654316;Yes
77;SVM;78;0.80;0.05;0.50;0.45;0.45;0.15402443383374434;0.1592409090909091;0.16445738434807386;0.010432950514329516;0.0013410520242315338;Yes
78;SVM;79;0.80;0.20;0.05;-0.15;-0.15;-0.09240409428173499;-0.09022727272727273;-0.08805045117281046;0.004353643108924526;0.0005596175210441049;Yes
79;SVM;80;0.80;0.20;0.20;0.00;0.00;-0.0033573231339187543;0.0006545454545454543;0.004666414043009663;0.008023737176928418;0.0010313716113426025;No
80;SVM;81;0.80;0.20;0.35;0.15;0.15;0.049910719951079645;0.05521590909090909;0.06052109823073854;0.0106103782796589;0.0013638585987976683;Yes
81;SVM;82;0.80;0.20;0.50;0.30;0.30;0.06257140578073402;0.06828636363636365;0.07400132149199327;0.011429915711259264;0.0014692019846473052;Yes
82;SVM;83;0.80;0.20;0.65;0.45;0.15;0.04669796950622266;0.05196363636363636;0.057229303221050055;0.01053133371482739;0.0013536982061526344;Yes
83;SVM;84;0.80;0.35;0.05;-0.30;-0.30;-0.1400792713136831;-0.13745454545454544;-0.13482981959540777;0.005249451718275319;0.000674764808213148;Yes
84;SVM;85;0.80;0.35;0.20;-0.15;-0.15;-0.05078104793174626;-0.04626818181818181;-0.041755315704617366;0.0090257322271289;0.0011601681093702451;Yes
85;SVM;86;0.80;0.35;0.35;0.00;0.00;0.002433181825423825;0.008086363636363636;0.013739545447303447;0.011306363621879622;0.0014533205923860238;Yes
86;SVM;87;0.80;0.35;0.50;0.15;0.15;0.015147586293632439;0.020754545454545453;0.026361504615458466;0.01121391832182603;0.001441437668509668;Yes
87;SVM;88;0.80;0.35;0.65;0.30;0.00;-0.0012071087873979955;0.0036909090909090915;0.008588926969216178;0.009796035756614174;0.0012591829667751649;No
88;SVM;89;0.80;0.35;0.80;0.45;-0.15;-0.05048020331861236;-0.04642272727272727;-0.04236525122684218;0.008114952091770189;0.0010430963814371844;Yes
89;SVM;90;0.80;0.50;0.05;-0.45;-0.45;-0.1523840024891632;-0.1498090909090909;-0.14723417932901858;0.005149823160144604;0.0006619585479544649;Yes
90;SVM;91;0.80;0.50;0.20;-0.30;-0.30;-0.0628123003310425;-0.05845227272727273;-0.05409224512350296;0.008720055207539535;0.00112087636871468;Yes
91;SVM;92;0.80;0.50;0.35;-0.15;-0.15;-0.010648470792026798;-0.005018181818181818;0.0006121071556631627;0.011260577947689962;0.001447435299345621;No
92;SVM;93;0.80;0.50;0.50;0.00;0.00;0.0032696947705628636;0.008404545454545456;0.013539396138528049;0.010269701367965185;0.0013200679701151777;Yes
93;SVM;94;0.80;0.50;0.65;0.15;-0.15;-0.013112941701193651;-0.008249999999999999;-0.003387058298806345;0.009725883402387307;0.0012501655793629143;Yes
94;SVM;95;0.80;0.50;0.80;0.30;-0.30;-0.06252407100611108;-0.058263636363636365;-0.054003201721161645;0.008520869284949438;0.0010952729994356835;Yes
95;SVM;96;0.80;0.50;0.95;0.45;-0.45;-0.15162978508990976;-0.14941136363636365;-0.14719294218281753;0.004436842907092228;0.0005703120276072487;Yes
96;SVM;97;0.80;0.65;0.20;-0.45;-0.15;-0.04730758549487307;-0.04305681818181818;-0.03880605086876329;0.008501534626109773;0.0010927877213411361;Yes
97;SVM;98;0.80;0.65;0.35;-0.30;0.00;0.0051978128820065255;0.011065909090909092;0.016934005299811657;0.011736192417805132;0.0015085708090967422;Yes
98;SVM;99;0.80;0.65;0.50;-0.15;0.15;0.016927795106624656;0.02253409090909091;0.028140386711557164;0.01121259160493251;0.001441267132248311;Yes
99;SVM;100;0.80;0.65;0.65;0.00;0.00;0.0029892067549414005;0.007711363636363636;0.012433520517785871;0.009444313762844471;0.0012139726026443498;Yes
100;SVM;101;0.80;0.65;0.80;0.15;-0.15;-0.04734822366455794;-0.043440909090909086;-0.03953359451726023;0.007814629147297705;0.0010044928538871564;Yes
101;SVM;102;0.80;0.65;0.95;0.30;-0.30;-0.1374436359421527;-0.1347909090909091;-0.1321381822396655;0.005305453702487209;0.000681963306297193;Yes
102;SVM;103;0.80;0.80;0.35;-0.45;0.15;0.05223875573438868;0.05744772727272728;0.06265669881106588;0.010417943076677203;0.0013391229673828005;Yes
103;SVM;104;0.80;0.80;0.50;-0.30;0.30;0.06492945153010993;0.0701;0.07527054846989006;0.010341096939780149;0.0013292451607835433;Yes
104;SVM;105;0.80;0.80;0.65;-0.15;0.15;0.04901222113123702;0.05350681818181818;0.05800141523239934;0.00898919410116232;0.0011554714966793473;Yes
105;SVM;106;0.80;0.80;0.80;0.00;0.00;-0.0010719636473291707;0.0024022727272727273;0.005876509101874625;0.006948472749203796;0.0008931570635592388;No
106;SVM;107;0.80;0.80;0.95;0.15;-0.15;-0.09082989192529689;-0.08874318181818182;-0.08665647171106675;0.004173420214230135;0.0005364516603979892;Yes
107;SVM;108;0.80;0.95;0.50;-0.45;0.45;0.15423102222298912;0.15935;0.16446897777701086;0.010237955554021747;0.0013159873614713188;Yes
108;SVM;109;0.80;0.95;0.65;-0.30;0.30;0.13861391735862427;0.14301818181818182;0.14742244627773937;0.008808528919115093;0.0011322487843929406;Yes
109;SVM;110;0.80;0.95;0.80;-0.15;0.15;0.09051956152874532;0.09365454545454545;0.09678952938034557;0.006269967851600264;0.0008059420072688369;Yes
110;SVM;111;0.80;0.95;0.95;0.00;0.00;0.0012849007123777421;0.002627272727272727;0.0039696447421677114;0.0026847440297899693;0.0003450971430132146;Yes
111;SVM;112;0.95;0.05;0.05;0.00;0.00;-0.006732565921980169;-0.006208612440191387;-0.005684658958402606;0.0010479069635775634;0.00013469801786003432;Yes
112;SVM;113;0.95;0.05;0.20;0.15;0.15;0.10610936777244728;0.11262009569377991;0.11913082361511254;0.013021455842665265;0.0016737786393468798;Yes
113;SVM;114;0.95;0.05;0.35;0.30;0.30;0.15439441029936524;0.16374736842105264;0.17310032654274005;0.018705916243374802;0.0024044594871631534;Yes
114;SVM;115;0.95;0.05;0.50;0.45;0.45;0.168955815493307;0.17894354066985643;0.18893126584640588;0.01997545035309888;0.0025676454703936953;Yes
115;SVM;116;0.95;0.20;0.05;-0.15;-0.15;-0.09680582757354704;-0.09498181818181817;-0.0931578087900893;0.0036480187834577356;0.000468916532027187;Yes
116;SVM;117;0.95;0.20;0.20;0.00;0.00;0.009405236735269978;0.016193301435406697;0.022981366135543416;0.013576129400273437;0.0017450764084867296;Yes
117;SVM;118;0.95;0.20;0.35;0.15;0.15;0.061929507257852276;0.07171674641148325;0.08150398556511422;0.01957447830726195;0.0025161045019024414;Yes
118;SVM;119;0.95;0.20;0.50;0.30;0.30;0.07766717734169012;0.08741626794258374;0.09716535854347735;0.01949818120178722;0.0025062972678319487;Yes
119;SVM;120;0.95;0.20;0.65;0.45;0.15;0.0648896152524305;0.07378564593301434;0.08268167661359818;0.01779206136116767;0.0022869925311036475;Yes
120;SVM;121;0.95;0.35;0.05;-0.30;-0.30;-0.14433627025467802;-0.14204593301435406;-0.1397555957740301;0.0045806744806479;0.0005888001458629919;Yes
121;SVM;122;0.95;0.35;0.20;-0.15;-0.15;-0.03888864832511693;-0.03217990430622009;-0.02547116028732325;0.013417488037793681;0.0017246846391604858;Yes
122;SVM;123;0.95;0.35;0.35;0.00;0.00;0.013737601284410306;0.023322488038277515;0.03290737479214473;0.019169773507734418;0.0024640837250496056;Yes
123;SVM;124;0.95;0.35;0.50;0.15;0.15;0.029393728265560706;0.039435406698564594;0.04947708513156848;0.02008335686600778;0.002581515779407957;Yes
124;SVM;125;0.95;0.35;0.65;0.30;0.00;0.017825115661717936;0.027268899521531102;0.03671268338134427;0.01888756771962633;0.0024278089777600054;Yes
125;SVM;126;0.95;0.35;0.80;0.45;-0.15;-0.03142116276775808;-0.02416459330143541;-0.016908023835112737;0.014513138932645346;0.0018655196645326296;Yes
126;SVM;127;0.95;0.50;0.05;-0.45;-0.45;-0.1565609262364144;-0.15444784688995217;-0.15233476754348993;0.00422615869292447;0.000543230667306034;Yes
127;SVM;128;0.95;0.50;0.20;-0.30;-0.30;-0.053143579490280965;-0.04596172248803827;-0.03877986548579558;0.014363714004485379;0.001846312576173076;Yes
128;SVM;129;0.95;0.50;0.35;-0.15;-0.15;0.0015531946664804341;0.011041148325358852;0.02052910198423727;0.018975907317756835;0.0024391641544887744;Yes
129;SVM;130;0.95;0.50;0.50;0.00;0.00;0.018315557431374793;0.02809569377990431;0.037875830128433825;0.019560272697059036;0.002514278511997486;Yes
130;SVM;131;0.95;0.50;0.65;0.15;-0.15;0.006619536305520254;0.015967464114832536;0.02531539192414482;0.018695855618624566;0.002403166293912806;Yes
131;SVM;132;0.95;0.50;0.80;0.30;-0.30;-0.04289098195738856;-0.03593301435406698;-0.028975046750745408;0.013915935206643148;0.0017887550652436878;Yes
132;SVM;133;0.95;0.50;0.95;0.45;-0.45;-0.15741330848173554;-0.15535693779904305;-0.15330056711635057;0.004112741365384954;0.0005286519978806501;Yes
133;SVM;134;0.95;0.65;0.20;-0.45;-0.15;-0.04062093586991651;-0.033240191387559806;-0.025859446905203105;0.014761488964713404;0.001897442591106986;Yes
134;SVM;135;0.95;0.65;0.35;-0.30;0.00;0.014262871183127664;0.023791387559808613;0.033319903936489564;0.0190570327533619;0.002449592022375755;Yes
135;SVM;136;0.95;0.65;0.50;-0.15;0.15;0.03225251685768181;0.042870813397129184;0.05348910993657656;0.021236593078894753;0.002729752824679572;Yes
136;SVM;137;0.95;0.65;0.65;0.00;0.00;0.02118187332010725;0.030044019138755977;0.038906164957404704;0.01772429163729745;0.0022782814071265;Yes
137;SVM;138;0.95;0.65;0.80;0.15;-0.15;-0.030978655360735796;-0.023557894736842104;-0.016137134112948412;0.014841521247787388;0.001907729945108409;Yes
138;SVM;139;0.95;0.65;0.95;0.30;-0.30;-0.14413238318730845;-0.14211866028708134;-0.14010493738685423;0.004027445800454213;0.0005176881013442642;Yes
139;SVM;140;0.95;0.80;0.35;-0.45;0.15;0.06107650222215449;0.07129186602870814;0.08150722983526179;0.020430727613107307;0.0026261668340560942;Yes
140;SVM;141;0.95;0.80;0.50;-0.30;0.30;0.08053447384087659;0.09138373205741628;0.10223299027395596;0.021698516433079375;0.0027891284776473766;Yes
141;SVM;142;0.95;0.80;0.65;-0.15;0.15;0.0729180354415343;0.08206698564593301;0.09121593585033172;0.018297900408797408;0.0023520131096856603;Yes
142;SVM;143;0.95;0.80;0.80;0.00;0.00;0.01852797368716111;0.02557511961722488;0.03262226554728865;0.014094291860127537;0.0018116810391435817;Yes
143;SVM;144;0.95;0.80;0.95;0.15;-0.15;-0.09582774362021808;-0.09444784688995216;-0.09306795015968623;0.0027597934605318552;0.00035474400090596464;Yes
144;SVM;145;0.95;0.95;0.50;-0.45;0.45;0.17046804538120505;0.18114832535885167;0.1918286053364983;0.02136055995529325;0.0027456875336867243;Yes
145;SVM;146;0.95;0.95;0.65;-0.30;0.30;0.16132683823965807;0.17015693779904306;0.17898703735842805;0.017660199118769964;0.00227004295132329;Yes
146;SVM;147;0.95;0.95;0.80;-0.15;0.15;0.10810017827200363;0.11499521531100479;0.12189025235000595;0.013790074078002309;0.001772576868950699;Yes
147;SVM;148;0.95;0.95;0.95;0.00;0.00;-0.006705820171781475;-0.005971291866028708;-0.005236763560275941;0.001469056611505534;0.0001888326164170274;Yes
148;SVM_noSex;1;0.50;0.05;0.05;0.00;0.00;-0.0019347546987784113;-0.0007454545454545455;0.0004438456078693204;0.0023786003066477318;0.00030574541225768335;No
149;SVM_noSex;2;0.50;0.05;0.20;0.15;0.15;0.09338279077761046;0.09567272727272726;0.09796266376784406;0.004579872990233606;0.0005886971222417243;Yes
