;Exp. Group;Lower Bound Bias;Mean Bias;Upper Bound Bias;SD Bias;Lower Bound NO SEX;Mean NO SEX;Upper Bound NO SEX;SD NO SEX;Lower Bound NO SEX INF;Mean NO SEX INF;Upper Bound NO SEX INF;SD NO SEX INF
68;69;-0.0018396786728210558;0.001963236763236763;0.005766152199294582;0.0010542731167225588;-0.0019014160167844507;0.0018077922077922076;0.005517000432368866;0.0010282948914454714;-0.0008058713383398597;0.0028811188811188808;0.006568109100577622;0.0010221354472251427
69;70;-0.0916801527805545;-0.0888047952047952;-0.0859294376290359;0.0007971284778895859;-0.0924882108582777;-0.0895088911088911;-0.0865295713595045;0.0008259496617034779;-0.090564900824181;-0.08751968031968033;-0.08447445981517965;0.0008442191698365621
70;71;0.14664986303354907;0.15017862137862137;0.15370737972369367;0.0009782692045544477;0.15030104884289605;0.15413906093906096;0.15797707303522587;0.0010640028795478964;0.14847387957687802;0.15266413586413585;0.15685439215139368;0.001161654691015971
71;72;0.13170756062360636;0.13517002997002997;0.13863249931645358;0.0009598920645983158;0.13410935520246786;0.13768711288711286;0.14126487057175785;0.0009918531738320312;0.13555666973043431;0.13897582417582416;0.142394978621214;0.0009478839785703105
72;73;0.08806238978559822;0.09128511488511488;0.09450783998463155;0.0008934283425795842;0.08955781351416794;0.09274365634365635;0.09592949917314475;0.0008832035594024938;0.09252400466838762;0.09586493506493506;0.0992058654614825;0.0009261981133013164
73;74;-0.0036344045398624767;-0.0016023976023976023;0.0004296093350672724;0.0005633284050574886;-0.003620347272493862;-0.0016407592407592408;0.00033882879097538025;0.00054879643766336;-0.003786332627246502;-0.0018441558441558445;9.802093893481302e-05;0.0005384250070145524
74;75;-0.0017328005858001482;0.0013363636363636362;0.00440552785852742;0.0008508570292028931;-0.001298160930189062;0.0017749999999999997;0.004848160930189062;0.0008519650269738895;-0.0017498401083662124;0.001393181818181818;0.004536203744729848;0.0008713324232799885
75;76;0.09211238663887526;0.09719090909090909;0.10226943154294292;0.0014079065874263621;0.0948621466030588;0.0998159090909091;0.10476967157875938;0.0013733196820655835;0.09947146135945116;0.1047090909090909;0.10994672045873065;0.001452015466129054
76;77;0.13485784956944413;0.13953863636363636;0.1442194231578286;0.0012976432858423938;0.14284261543996918;0.14774772727272728;0.15265283910548538;0.0013598323777494518;0.15121703808376136;0.15619772727272727;0.16117841646169317;0.0013807845067732426
77;78;0.146236201526108;0.1507;0.155163798473892;0.0012374881347269548;0.16051457639221364;0.16480909090909088;0.1691036054259681;0.001190557949721817;0.17221895622663363;0.17685227272727272;0.1814855892279118;0.0012844832103220507
78;79;-0.09241422080285602;-0.08918636363636363;-0.08595850646987124;0.0008948510931867685;-0.0905624387307089;-0.08733181818181818;-0.08410119763292745;0.0008956171790550396;-0.08992671780737184;-0.08655909090909092;-0.08319146401081;0.0009335991203869027
79;80;-0.002004303386842005;0.002525;0.007054303386842004;0.001255647904487183;-0.0026747844637194417;0.0019090909090909091;0.0064929662819012595;0.0012707767651468427;-0.002906198721451878;0.0014522727272727274;0.005810744175997333;0.0012082885763971833
80;81;0.043672213035442296;0.04884772727272727;0.05402324151001225;0.0014347953872044631;0.045378516905216555;0.05021590909090909;0.05505330127660162;0.001341058622567247;0.04730698844208608;0.05193181818181818;0.05655664792155029;0.0012821304459698791
81;82;0.05694307004635354;0.061988636363636364;0.0670342026809192;0.001398770237306758;0.06307950935505684;0.06803863636363637;0.0729977633722159;0.001374806875268807;0.07136829381163615;0.07616590909090909;0.08096352437018203;0.0013300313662925104
82;83;0.04013141491995741;0.04442499999999999;0.04871858508004257;0.0011903002841794313;0.05487703714097139;0.06005681818181818;0.06523659922266498;0.0014359782629126399;0.07057610049258282;0.07616818181818182;0.0817602631437808;0.0015502792810498968
83;84;-0.14318546865281445;-0.13993863636363638;-0.1366918040744583;0.0009001115208955634;-0.1361800185249279;-0.13240454545454544;-0.128629072384163;0.0010466653355669495;-0.13071951587072117;-0.12676590909090912;-0.12281230231109706;0.0010960489161885554
84;85;-0.05312004871058321;-0.04858636363636364;-0.04405267856214407;0.001256862629159799;-0.051618309075556104;-0.04685454545454545;-0.04209078183353479;0.0013206467523397462;-0.048886587287526935;-0.04448863636363636;-0.04009068543974579;0.0012192333765195177
85;86;-0.007154596860638673;-0.002579545454545455;0.001995505951547763;0.0012683305180374482;-0.008786185782024631;-0.0040704545454545455;0.00064527669111554;0.0013073308497120843;-0.008033536974968544;-0.0035181818181818183;0.000997173338604908;0.001251781070154315
86;87;0.006511959725279066;0.011656818181818181;0.016801676638357296;0.0014262967587032717;0.007241471394553341;0.012286363636363637;0.017331255878173933;0.0013985833649817537;0.008872945555621188;0.013845454545454546;0.018817963535287904;0.0013785167298058353
87;88;-0.012048491738908871;-0.0070613636363636365;-0.0020742355338184016;0.0013825695513270118;-0.0022954398349377763;0.002813636363636364;0.007922712562210504;0.0014163769292297008;0.0015336744431743658;0.006972727272727273;0.01241178010228018;0.0015078555584648065
88;89;-0.05500211889297738;-0.050875;-0.04674788110702261;0.0011441512627728262;-0.044934583914146314;-0.04080227272727273;-0.03666996154039914;0.0011455907099445883;-0.029774528004001957;-0.025088636363636365;-0.020402744723270774;0.001299058490091891
89;90;-0.15583294352463678;-0.15271818181818184;-0.1496034201117269;0.0008634979103075706;-0.14089270548683624;-0.13728181818181817;-0.1336709308768001;0.0010010376189541585;-0.1322424377276022;-0.12860000000000002;-0.12495756227239785;0.0010097842668644072
90;91;-0.06624545749626481;-0.061595454545454544;-0.05694545159464427;0.0012891091548440383;-0.059451445858722834;-0.05485;-0.05024855414127717;0.001275647788775095;-0.0536621559546966;-0.04906590909090909;-0.04446966222712158;0.0012742064838903433
91;92;-0.022061470593861748;-0.017056818181818183;-0.01205216576977462;0.0013874277735788233;-0.022614013727548773;-0.01734772727272727;-0.01208144081790577;0.001459959951156286;-0.020278083892426715;-0.01526818181818182;-0.010258279743936925;0.0013888831248280939
92;93;-0.00800452798834675;-0.0032181818181818184;0.0015681643519831145;0.0013269072582281175;-0.00693378829338176;-0.0022795454545454542;0.002374697384290851;0.0012902845688228443;-0.008093333395152879;-0.0034000000000000002;0.0012933333951528781;0.0013011215499062346
93;94;-0.024299826886114678;-0.019734090909090913;-0.015168354932067146;0.0012657480239999688;-0.020646424001747377;-0.016004545454545452;-0.011362666907343527;0.0012868568459358592;-0.018599284079589426;-0.013881818181818181;-0.009164352284046936;0.0013078117456725006
94;95;-0.06856453780658177;-0.06426136363636363;-0.05995818946614549;0.001192958644628381;-0.06541005447987738;-0.06117045454545454;-0.0569308546110317;0.0011753341118607957;-0.05977238238524042;-0.05537727272727273;-0.050982163069305045;0.0012184456991887129
95;96;-0.15484431757006178;-0.15191136363636365;-0.14897840970266552;0.0008130957779300495;-0.13941631813512936;-0.1360431818181818;-0.13267004550123426;0.0009351264832974517;-0.12838064463995075;-0.12467045454545453;-0.1209602644509583;0.001028567092886111
96;97;-0.04909003941721107;-0.04428636363636364;-0.0394826878555162;0.0013317115045946284;-0.038879104222838946;-0.034086363636363644;-0.029293623049888345;0.0013286799669108382;-0.024943777591135675;-0.020179545454545453;-0.015415313317955232;0.0013207766377891091
97;98;-0.005129065812860464;3.1818181818181895e-05;0.005192702176496827;0.001430739480169367;-0.0006272186276101458;0.004956818181818182;0.01054085499124651;0.0015480491191442812;0.0049166711521913846;0.010354545454545455;0.015792419756899524;0.00150752883819875
98;99;0.01005825691340054;0.014725000000000002;0.019391743086599463;0.0012937499825010218;0.010967516858782118;0.015586363636363636;0.020205210413945154;0.0012804718037361;0.013388829240448734;0.01779545454545455;0.02220207985046036;0.0012216381543716092
